"nuc_id","nuc","nuc_group","transition_id","calcurve","level","repl_calcurve","date","median_intensity","cv"
"nuc24","UTP","ng_02","t2","TrueBlank",NA,1,"20181217",131,"62.7%"
"nuc24","UTP","ng_02","t12","TrueBlank",NA,1,"20181217",131,"62.8%"
"nuc25","dATP","ng_04","t1","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc25","dATP","ng_04","t2","TrueBlank",NA,1,"20181217",0,"236263%"
"nuc25","dATP","ng_04","t12","TrueBlank",NA,1,"20181217",0,"275565.2%"
"nuc26","ATP","ng_04","t1","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc26","ATP","ng_04","t2","TrueBlank",NA,1,"20181217",0,"8153365.2%"
"nuc26","ATP","ng_04","t12","TrueBlank",NA,1,"20181217",0,"4045662.5%"
"nuc27","dGTP","ng_05","t1","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc27","dGTP","ng_05","t2","TrueBlank",NA,1,"20181217",0,"310637%"
"nuc27","dGTP","ng_05","t12","TrueBlank",NA,1,"20181217",0,"368943.5%"
"nuc28","GTP","ng_05","t1","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc28","GTP","ng_05","t2","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc28","GTP","ng_05","t12","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc29","UDP-Glc","ng_06","t1","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc29","UDP-Glc","ng_06","t2","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc29","UDP-Glc","ng_06","t12","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc30","GDP-Man","ng_06","t1","TrueBlank",NA,1,"20181217",0,"NaN%"
"nuc30","GDP-Man","ng_06","t2","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc30","GDP-Man","ng_06","t12","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc31","UDP-GNAc","ng_06","t1","TrueBlank",NA,1,"20181217",0,"Inf%"
