"calcurve","nuc_nb","transition","mean","cv","nb_calcurve","date","level"
"D",5,1,5691,"8.1%",1,"20181217",1
"D",5,2,2486,"11.5%",1,"20181217",1
"D",5,12,8251,"7.2%",1,"20181217",1
"D",6,1,7752,"6.6%",1,"20181217",1
"D",6,2,78983,"6.1%",1,"20181217",1
"D",6,12,86580,"5.7%",1,"20181217",1
"D",7,1,16412,"5.9%",1,"20181217",1
"D",7,2,3090,"10.3%",1,"20181217",1
"D",7,12,19307,"5.5%",1,"20181217",1
"D",8,1,1223,"17.6%",1,"20181217",1
"D",8,2,5668,"8.6%",1,"20181217",1
"D",8,12,6900,"7.7%",1,"20181217",1
"D",9,1,27729,"4.5%",1,"20181217",1
"D",9,2,3794,"6.7%",1,"20181217",1
"D",9,12,31492,"4.2%",1,"20181217",1
"D",10,1,1253,"16.4%",1,"20181217",1
"D",10,2,791,"19.6%",1,"20181217",1
"D",10,12,2055,"13.2%",1,"20181217",1
"D",11,1,1284,"15.3%",1,"20181217",1
"D",11,2,1152,"16.5%",1,"20181217",1
"D",11,12,2503,"11.6%",1,"20181217",1
"D",12,1,30256,"4.9%",1,"20181217",1
"D",12,2,5238,"7.6%",1,"20181217",1
"D",12,12,35289,"4.6%",1,"20181217",1
"D",13,1,22932,"9.7%",1,"20181217",1
"D",13,2,7123,"12%",1,"20181217",1
"D",13,12,30161,"8.7%",1,"20181217",1
"D",14,1,511537,"3.6%",1,"20181217",1
"D",14,2,226447,"4.7%",1,"20181217",1
"D",14,12,740498,"3%",1,"20181217",1
"D",15,1,81356,"10.5%",1,"20181217",1
"D",15,2,5657,"7.1%",1,"20181217",1
"D",15,12,86921,"9.9%",1,"20181217",1
"D",16,1,49904,"8.9%",1,"20181217",1
"D",16,2,15955,"6.3%",1,"20181217",1
"D",16,12,65816,"7.2%",1,"20181217",1
"D",17,1,22227,"6.2%",1,"20181217",1
"D",17,2,5994,"9.1%",1,"20181217",1
"D",17,12,27962,"5.8%",1,"20181217",1
"D",18,1,78637,"6.6%",1,"20181217",1
"D",18,2,117121,"3%",1,"20181217",1
"D",18,12,196330,"4%",1,"20181217",1
"D",19,1,123557,"2.4%",1,"20181217",1
"D",19,2,8569,"7.5%",1,"20181217",1
"D",19,12,132204,"2.3%",1,"20181217",1
"D",20,1,46239,"4.1%",1,"20181217",1
"D",20,2,72066,"4.8%",1,"20181217",1
"D",20,12,118787,"3.5%",1,"20181217",1
"D",21,1,73754,"12.2%",1,"20181217",1
"D",21,2,14070,"6.3%",1,"20181217",1
"D",21,12,87730,"10.7%",1,"20181217",1
"D",22,1,189466,"21.5%",1,"20181217",1
"D",22,2,13201,"16.1%",1,"20181217",1
"D",22,12,203121,"20.4%",1,"20181217",1
"D",23,1,83250,"15.1%",1,"20181217",1
"D",23,2,68422,"6.9%",1,"20181217",1
"D",23,12,151736,"9.2%",1,"20181217",1
"D",24,1,83018,"6.3%",1,"20181217",1
"D",24,2,20360,"4.8%",1,"20181217",1
"D",24,12,103158,"5.4%",1,"20181217",1
"D",25,1,92396,"13.8%",1,"20181217",1
"D",25,2,13325,"11.3%",1,"20181217",1
"D",25,12,105803,"12.5%",1,"20181217",1
"D",26,1,162618,"21.9%",1,"20181217",1
"D",26,2,147529,"9.1%",1,"20181217",1
"D",26,12,310295,"13.7%",1,"20181217",1
"D",27,1,140675,"8.9%",1,"20181217",1
"D",27,2,12506,"14%",1,"20181217",1
"D",27,12,153401,"8.3%",1,"20181217",1
"D",28,1,420,"26.8%",1,"20181217",1
"D",28,2,154,"46.3%",1,"20181217",1
"D",28,12,577,"23.4%",1,"20181217",1
"D",29,1,463,"30.5%",1,"20181217",1
"D",29,2,8743,"11%",1,"20181217",1
"D",29,12,9286,"10.6%",1,"20181217",1
"D",30,1,2781,"17.3%",1,"20181217",1
"D",30,2,5022,"14.6%",1,"20181217",1
"D",30,12,7723,"12.9%",1,"20181217",1
"D",31,1,1903,"17%",1,"20181217",1
"D",31,2,3773,"15.2%",1,"20181217",1
"D",31,12,5740,"13.9%",1,"20181217",1
"D",32,1,372,"32.1%",1,"20181217",1
"D",32,2,3847,"9.7%",1,"20181217",1
"D",32,12,4270,"9.3%",1,"20181217",1
"D",33,1,4451,"17.8%",1,"20181217",1
"D",1,1,874,"27.4%",1,"20181218",1
"D",1,2,483,"31%",1,"20181218",1
"D",1,12,1374,"26.5%",1,"20181218",1
"D",2,1,1656,"25.1%",1,"20181218",1
"D",2,2,2766,"22.9%",1,"20181218",1
"D",2,12,4428,"22%",1,"20181218",1
"D",3,1,44764,"21.8%",1,"20181218",1
"D",3,2,119418,"21.1%",1,"20181218",1
"D",3,12,164179,"21.2%",1,"20181218",1
"D",4,1,10510,"21.5%",1,"20181218",1
"D",4,2,2432,"21.7%",1,"20181218",1
"D",4,12,12995,"20.9%",1,"20181218",1
"D",5,1,3909,"22%",1,"20181218",1
"D",5,2,1705,"25.4%",1,"20181218",1
"D",5,12,5714,"21.5%",1,"20181218",1
"D",6,1,6357,"18.5%",1,"20181218",1
"D",6,2,64546,"16.5%",1,"20181218",1
"D",6,12,70981,"16.5%",1,"20181218",1
"D",7,1,12256,"18.5%",1,"20181218",1
"D",7,2,2289,"23.4%",1,"20181218",1
"D",7,12,14569,"18.6%",1,"20181218",1
"D",8,1,773,"24.9%",1,"20181218",1
"D",8,2,3981,"22.1%",1,"20181218",1
"D",8,12,4797,"21.2%",1,"20181218",1
"D",9,1,19859,"20.6%",1,"20181218",1
"D",9,2,2648,"22.2%",1,"20181218",1
"D",9,12,22498,"20.5%",1,"20181218",1
"D",10,1,882,"25.1%",1,"20181218",1
"D",10,2,599,"27%",1,"20181218",1
"D",10,12,1484,"22.2%",1,"20181218",1
"D",11,1,813,"31.8%",1,"20181218",1
"D",11,2,774,"27.4%",1,"20181218",1
"D",11,12,1556,"27.3%",1,"20181218",1
"D",12,1,23689,"17.5%",1,"20181218",1
"D",12,2,3977,"17.6%",1,"20181218",1
"D",12,12,27752,"17%",1,"20181218",1
"D",13,1,18880,"15.2%",1,"20181218",1
"D",13,2,6168,"14.1%",1,"20181218",1
"D",13,12,25228,"14.1%",1,"20181218",1
"D",14,1,434636,"18.4%",1,"20181218",1
"D",14,2,190031,"16.8%",1,"20181218",1
"D",14,12,624304,"17.7%",1,"20181218",1
"D",15,1,66298,"16.8%",1,"20181218",1
"D",15,2,4147,"22.1%",1,"20181218",1
"D",15,12,70619,"17%",1,"20181218",1
"D",16,1,39668,"16.2%",1,"20181218",1
"D",16,2,12384,"17.2%",1,"20181218",1
"D",16,12,52237,"16.2%",1,"20181218",1
"D",17,1,16153,"20.8%",1,"20181218",1
"D",17,2,4147,"22.4%",1,"20181218",1
"D",17,12,20417,"20.5%",1,"20181218",1
"D",18,1,61867,"15.8%",1,"20181218",1
"D",18,2,95357,"16.9%",1,"20181218",1
"D",18,12,158327,"16.2%",1,"20181218",1
"D",19,1,98718,"17.1%",1,"20181218",1
"D",19,2,7032,"19.4%",1,"20181218",1
"D",19,12,106087,"17%",1,"20181218",1
"D",20,1,37056,"18.3%",1,"20181218",1
"D",20,2,57906,"18.2%",1,"20181218",1
"D",20,12,94997,"18.1%",1,"20181218",1
"D",21,1,64404,"15.3%",1,"20181218",1
"D",21,2,12146,"16.8%",1,"20181218",1
"D",21,12,76588,"14.7%",1,"20181218",1
"D",22,1,168872,"15.8%",1,"20181218",1
"D",22,2,11087,"17.4%",1,"20181218",1
"D",22,12,179667,"15.8%",1,"20181218",1
"D",23,1,73606,"17.7%",1,"20181218",1
"D",23,2,60754,"14.3%",1,"20181218",1
"D",23,12,134384,"15.5%",1,"20181218",1
"D",24,1,71865,"20.5%",1,"20181218",1
"D",24,2,17798,"15.9%",1,"20181218",1
"D",24,12,89818,"18.8%",1,"20181218",1
"D",25,1,81631,"14%",1,"20181218",1
"D",25,2,11827,"19.1%",1,"20181218",1
"D",25,12,93505,"14.2%",1,"20181218",1
"D",26,1,145699,"9.6%",1,"20181218",1
"D",26,2,132191,"8.9%",1,"20181218",1
"D",26,12,278044,"9.1%",1,"20181218",1
"D",27,1,126354,"15.5%",1,"20181218",1
"D",27,2,11452,"14.4%",1,"20181218",1
"D",27,12,137680,"15%",1,"20181218",1
"D",28,1,299,"34.3%",1,"20181218",1
"D",28,2,106,"79.1%",1,"20181218",1
"D",28,12,416,"32.3%",1,"20181218",1
"D",29,1,399,"30.9%",1,"20181218",1
"D",29,2,7747,"13.5%",1,"20181218",1
"D",29,12,8205,"13.4%",1,"20181218",1
"D",30,1,2347,"19.7%",1,"20181218",1
"D",30,2,4416,"15.3%",1,"20181218",1
"D",30,12,6827,"15.3%",1,"20181218",1
"D",31,1,1741,"19.8%",1,"20181218",1
"D",31,2,3101,"13.4%",1,"20181218",1
"D",31,12,4818,"14%",1,"20181218",1
"D",32,1,334,"40.9%",1,"20181218",1
"D",32,2,3204,"18.7%",1,"20181218",1
"D",32,12,3584,"18.1%",1,"20181218",1
"D",33,1,3619,"18.7%",1,"20181218",1
"D",33,2,3553,"18.5%",1,"20181218",1
"D",33,12,7192,"17.8%",1,"20181218",1
"D",34,1,13618,"16.8%",1,"20181218",1
"D",34,2,147725,"16.2%",1,"20181218",1
"D",34,12,161917,"16.1%",1,"20181218",1
"D",35,1,7043,"18.3%",1,"20181218",1
"D",35,2,6725,"17.4%",1,"20181218",1
"D",35,12,13898,"17.1%",1,"20181218",1
"D",36,1,24588,"17.8%",1,"20181218",1
"D",36,2,16394,"18.1%",1,"20181218",1
"D",36,12,41032,"17.6%",1,"20181218",1
"D",1,1,660,"44.7%",2,"20181218",1
"D",1,2,347,"51.8%",2,"20181218",1
"D",1,12,1038,"42.9%",2,"20181218",1
"D",2,1,1329,"43.2%",2,"20181218",1
"D",2,2,2264,"42.3%",2,"20181218",1
"D",2,12,3618,"41.6%",2,"20181218",1
"D",3,1,37099,"38.1%",2,"20181218",1
"D",3,2,98390,"37.9%",2,"20181218",1
"D",3,12,135640,"37.9%",2,"20181218",1
"D",4,1,8611,"38.9%",2,"20181218",1
"D",4,2,1902,"38.4%",2,"20181218",1
"D",4,12,10579,"38.4%",2,"20181218",1
"D",5,1,2903,"39.6%",2,"20181218",1
"D",5,2,1299,"40.1%",2,"20181218",1
"D",5,12,4359,"37.7%",2,"20181218",1
"D",6,1,5596,"38.9%",2,"20181218",1
"D",6,2,57735,"37.6%",2,"20181218",1
"D",6,12,63425,"37.6%",2,"20181218",1
"D",7,1,10207,"37.9%",2,"20181218",1
"D",7,2,1797,"41.6%",2,"20181218",1
"D",7,12,12102,"37.8%",2,"20181218",1
"D",8,1,684,"42.7%",2,"20181218",1
"D",8,2,3361,"37.7%",2,"20181218",1
"D",8,12,4110,"37.1%",2,"20181218",1
"D",9,1,16691,"36.6%",2,"20181218",1
"D",9,2,2285,"38.9%",2,"20181218",1
"D",9,12,19106,"36.5%",2,"20181218",1
"D",10,1,741,"37.7%",2,"20181218",1
"D",10,2,462,"45.3%",2,"20181218",1
"D",10,12,1227,"37.9%",2,"20181218",1
"D",11,1,661,"44.4%",2,"20181218",1
"D",11,2,554,"47.7%",2,"20181218",1
"D",11,12,1217,"42.7%",2,"20181218",1
"D",12,1,17238,"36.4%",2,"20181218",1
"D",12,2,2950,"36.7%",2,"20181218",1
"D",12,12,20266,"36.1%",2,"20181218",1
"D",13,1,16233,"35.1%",2,"20181218",1
"D",13,2,5176,"37%",2,"20181218",1
"D",13,12,21558,"35.1%",2,"20181218",1
"D",14,1,371502,"36.3%",2,"20181218",1
"D",6,1,7503,"9%",2,"20181217",1
"D",6,2,78908,"6.9%",2,"20181217",1
"D",6,12,86559,"6.9%",2,"20181217",1
"D",7,1,14975,"7%",2,"20181217",1
"D",7,2,2735,"12.1%",2,"20181217",1
"D",7,12,17676,"6.9%",2,"20181217",1
"D",8,1,1086,"15.9%",2,"20181217",1
"D",8,2,5157,"9.7%",2,"20181217",1
"D",8,12,6262,"8.9%",2,"20181217",1
"D",9,1,26080,"7.7%",2,"20181217",1
"D",9,2,3444,"12.9%",2,"20181217",1
"D",9,12,29358,"7.8%",2,"20181217",1
"D",10,1,1163,"15%",2,"20181217",1
"D",10,2,733,"20%",2,"20181217",1
"D",10,12,1928,"13.9%",2,"20181217",1
"D",11,1,1134,"17%",2,"20181217",1
"D",11,2,1044,"18.6%",2,"20181217",1
"D",11,12,2157,"14.2%",2,"20181217",1
"D",12,1,29305,"6.5%",2,"20181217",1
"D",12,2,4792,"9%",2,"20181217",1
"D",12,12,34008,"6.5%",2,"20181217",1
"D",13,1,22642,"8.6%",2,"20181217",1
"D",13,2,7322,"9%",2,"20181217",1
"D",13,12,30248,"7.9%",2,"20181217",1
"D",14,1,516801,"6.8%",2,"20181217",1
"D",14,2,227671,"7.1%",2,"20181217",1
"D",14,12,745198,"6.8%",2,"20181217",1
"D",15,1,80642,"6.9%",2,"20181217",1
"D",15,2,5293,"10.1%",2,"20181217",1
"D",15,12,85694,"6.9%",2,"20181217",1
"D",16,1,48748,"6.3%",2,"20181217",1
"D",16,2,15094,"7.7%",2,"20181217",1
"D",16,12,64295,"6.1%",2,"20181217",1
"D",17,1,20933,"7.1%",2,"20181217",1
"D",17,2,5523,"9.6%",2,"20181217",1
"D",17,12,26451,"6.9%",2,"20181217",1
"D",18,1,75954,"6.4%",2,"20181217",1
"D",18,2,115974,"6.1%",2,"20181217",1
"D",18,12,192723,"6%",2,"20181217",1
"D",19,1,120934,"5.9%",2,"20181217",1
"D",19,2,8391,"8.4%",2,"20181217",1
"D",19,12,130085,"5.8%",2,"20181217",1
"D",20,1,45292,"6.1%",2,"20181217",1
"D",20,2,70874,"6.1%",2,"20181217",1
"D",20,12,116820,"5.7%",2,"20181217",1
"D",21,1,77020,"12.3%",2,"20181217",1
"D",21,2,14637,"9.1%",2,"20181217",1
"D",21,12,91663,"11.6%",2,"20181217",1
"D",22,1,199168,"6.7%",2,"20181217",1
"D",22,2,13070,"8.4%",2,"20181217",1
"D",22,12,212139,"6.7%",2,"20181217",1
"D",23,1,86503,"6.9%",2,"20181217",1
"D",23,2,71023,"7.1%",2,"20181217",1
"D",23,12,158142,"6.8%",2,"20181217",1
"D",24,1,86156,"7.1%",2,"20181217",1
"D",24,2,21034,"7.3%",2,"20181217",1
"D",24,12,107091,"6.9%",2,"20181217",1
"D",25,1,94826,"7.1%",2,"20181217",1
"D",25,2,13789,"8.6%",2,"20181217",1
"D",25,12,108748,"7%",2,"20181217",1
"D",26,1,169653,"6.9%",2,"20181217",1
"D",26,2,152156,"7%",2,"20181217",1
"D",26,12,321809,"6.9%",2,"20181217",1
"D",27,1,145183,"6.9%",2,"20181217",1
"D",27,2,12950,"7.7%",2,"20181217",1
"D",27,12,157298,"6.9%",2,"20181217",1
"D",28,1,443,"27.9%",2,"20181217",1
"D",28,2,146,"50.3%",2,"20181217",1
"D",28,12,598,"25%",2,"20181217",1
"D",29,1,420,"33%",2,"20181217",1
"D",29,2,8652,"8.3%",2,"20181217",1
"D",29,12,9092,"8.3%",2,"20181217",1
"D",30,1,2615,"13%",2,"20181217",1
"D",30,2,4931,"10%",2,"20181217",1
"D",30,12,7503,"8.5%",2,"20181217",1
"D",31,1,1920,"15.6%",2,"20181217",1
"D",31,2,3596,"12.3%",2,"20181217",1
"D",31,12,5574,"10.7%",2,"20181217",1
"D",32,1,361,"26.7%",2,"20181217",1
"D",32,2,3550,"14.8%",2,"20181217",1
"D",32,12,3942,"14.1%",2,"20181217",1
"D",33,1,4267,"9.7%",2,"20181217",1
"D",33,2,4102,"11.9%",2,"20181217",1
"D",33,12,8581,"8%",2,"20181217",1
"D",34,1,15467,"7.4%",2,"20181217",1
"D",34,2,165388,"5.8%",2,"20181217",1
"D",34,12,180918,"5.8%",2,"20181217",1
"D",35,1,7900,"8.9%",2,"20181217",1
"D",35,2,7488,"9.4%",2,"20181217",1
"D",35,12,15461,"7.9%",2,"20181217",1
"D",36,1,28530,"7.8%",2,"20181217",1
"D",36,2,19116,"8.1%",2,"20181217",1
"D",36,12,47792,"7.3%",2,"20181217",1
"D",1,1,1276,"17.2%",3,"20181217",1
"D",1,2,664,"21.7%",3,"20181217",1
"D",1,12,1994,"14.5%",3,"20181217",1
"D",2,1,2043,"13.1%",3,"20181217",1
"D",2,2,3919,"12.4%",3,"20181217",1
"D",2,12,6062,"10.6%",3,"20181217",1
"D",3,1,61376,"7.2%",3,"20181217",1
"D",3,2,162925,"7.1%",3,"20181217",1
"D",3,12,223576,"7%",3,"20181217",1
"D",4,1,14596,"8.8%",3,"20181217",1
"D",4,2,3404,"11.7%",3,"20181217",1
"D",4,12,18091,"8.3%",3,"20181217",1
"D",5,1,5556,"10.7%",3,"20181217",1
"D",5,2,2335,"11.2%",3,"20181217",1
"D",5,12,7861,"8.8%",3,"20181217",1
"D",6,1,7719,"6.4%",3,"20181217",1
"D",6,2,79704,"4.7%",3,"20181217",1
"D",6,12,87040,"4.7%",3,"20181217",1
"D",7,1,15378,"7.2%",3,"20181217",1
"D",7,2,2930,"12.4%",3,"20181217",1
"D",7,12,18386,"7.3%",3,"20181217",1
"D",8,1,1083,"16.6%",3,"20181217",1
"D",8,2,5275,"9.2%",3,"20181217",1
"D",8,12,6483,"8.7%",3,"20181217",1
"D",9,1,26775,"7.5%",3,"20181217",1
"D",9,2,3665,"11.4%",3,"20181217",1
"D",9,12,30324,"7.5%",3,"20181217",1
"D",10,1,1182,"16.4%",3,"20181217",1
"D",10,2,766,"21.1%",3,"20181217",1
"D",10,12,1926,"14.1%",3,"20181217",1
"D",11,1,1251,"15.4%",3,"20181217",1
"D",11,2,1102,"15%",3,"20181217",1
"D",11,12,2326,"11.6%",3,"20181217",1
"D",12,1,29568,"6.3%",3,"20181217",1
"D",12,2,4893,"9.4%",3,"20181217",1
"D",12,12,34454,"6.1%",3,"20181217",1
"D",13,1,23086,"5.3%",3,"20181217",1
"D",13,2,7513,"8.4%",3,"20181217",1
"D",13,12,30704,"5.2%",3,"20181217",1
"D",14,1,524656,"4.6%",3,"20181217",1
"D",14,2,230143,"4.7%",3,"20181217",1
"D",14,12,756954,"4.5%",3,"20181217",1
"D",15,1,82125,"5%",3,"20181217",1
"D",15,2,5436,"8.9%",3,"20181217",1
"D",15,12,87526,"5.1%",3,"20181217",1
"D",16,1,49278,"5.8%",3,"20181217",1
"D",16,2,15480,"7.5%",3,"20181217",1
"D",16,12,64861,"5.6%",3,"20181217",1
"D",17,1,20772,"8.1%",3,"20181217",1
"D",17,2,5564,"10.8%",3,"20181217",1
"D",17,12,26503,"8%",3,"20181217",1
"D",18,1,77247,"5.8%",3,"20181217",1
"D",18,2,117764,"5.1%",3,"20181217",1
"D",18,12,195390,"5.3%",3,"20181217",1
"D",19,1,123616,"5.8%",3,"20181217",1
"D",19,2,8768,"6.8%",3,"20181217",1
"D",19,12,132673,"5.6%",3,"20181217",1
"D",20,1,46907,"5.8%",3,"20181217",1
"D",20,2,72324,"5.2%",3,"20181217",1
"D",20,12,119228,"5%",3,"20181217",1
"D",21,1,78099,"5.1%",3,"20181217",1
"D",21,2,14782,"6.1%",3,"20181217",1
"D",21,12,92847,"4.9%",3,"20181217",1
"D",22,1,200904,"4.7%",3,"20181217",1
"D",22,2,13472,"6.4%",3,"20181217",1
"D",22,12,214894,"4.6%",3,"20181217",1
"D",23,1,88179,"4.6%",3,"20181217",1
"D",23,2,71922,"5.1%",3,"20181217",1
"D",23,12,159937,"4.6%",3,"20181217",1
"D",24,1,87802,"4.3%",3,"20181217",1
"D",24,2,21313,"5.4%",3,"20181217",1
"D",24,12,109637,"4.1%",3,"20181217",1
"D",25,1,95841,"4.9%",3,"20181217",1
"D",25,2,13920,"6%",3,"20181217",1
"D",25,12,109850,"4.8%",3,"20181217",1
"D",26,1,171587,"3.9%",3,"20181217",1
"D",26,2,155012,"4.1%",3,"20181217",1
"D",26,12,327154,"3.8%",3,"20181217",1
"D",27,1,149322,"3.7%",3,"20181217",1
"D",27,2,13238,"5.8%",3,"20181217",1
"D",27,12,162419,"3.7%",3,"20181217",1
"D",28,1,413,"24.5%",3,"20181217",1
"D",28,2,149,"48.7%",3,"20181217",1
"D",28,12,555,"21.2%",3,"20181217",1
"D",29,1,466,"28.5%",3,"20181217",1
"D",29,2,8761,"5.6%",3,"20181217",1
"D",29,12,9301,"5.7%",3,"20181217",1
"D",30,1,2852,"13.2%",3,"20181217",1
"D",30,2,4950,"9.9%",3,"20181217",1
"D",30,12,7868,"7.9%",3,"20181217",1
"D",31,1,1967,"11.9%",3,"20181217",1
"D",31,2,3773,"9%",3,"20181217",1
"D",31,12,5768,"7.5%",3,"20181217",1
"D",32,1,397,"31.6%",3,"20181217",1
"D",32,2,3682,"12.1%",3,"20181217",1
"D",32,12,4078,"11.3%",3,"20181217",1
"D",33,1,4466,"9.8%",3,"20181217",1
"D",33,2,4481,"10.2%",3,"20181217",1
"D",33,12,9135,"8%",3,"20181217",1
"D",34,1,15542,"5.6%",3,"20181217",1
"D",34,2,170094,"3.5%",3,"20181217",1
"D",34,12,185394,"3.5%",3,"20181217",1
"D",35,1,8080,"7.8%",3,"20181217",1
"D",35,2,7637,"8.5%",3,"20181217",1
"D",35,12,15666,"6.3%",3,"20181217",1
"D",36,1,29048,"4.6%",3,"20181217",1
"D",36,2,19469,"6.1%",3,"20181217",1
"D",36,12,48852,"4.5%",3,"20181217",1
"D",4,12,7729,"79.8%",3,"20181218",1
"D",5,1,2823,"69.3%",3,"20181218",1
"D",5,2,1140,"71.5%",3,"20181218",1
"D",5,12,3867,"71.2%",3,"20181218",1
"D",6,1,4177,"69.1%",3,"20181218",1
"D",6,2,38572,"75.1%",3,"20181218",1
"D",6,12,42862,"74.2%",3,"20181218",1
"D",7,1,7813,"71.9%",3,"20181218",1
"D",7,2,1291,"85.3%",3,"20181218",1
"D",7,12,9105,"73.7%",3,"20181218",1
"D",8,1,501,"77.7%",3,"20181218",1
"D",8,2,2286,"83.6%",3,"20181218",1
"D",8,12,2966,"77.2%",3,"20181218",1
"D",9,1,11816,"80.9%",3,"20181218",1
"D",9,2,2139,"62.7%",3,"20181218",1
"D",9,12,14511,"75%",3,"20181218",1
"D",10,1,628,"68.9%",3,"20181218",1
"D",10,2,388,"70.8%",3,"20181218",1
"D",10,12,908,"75.4%",3,"20181218",1
"D",11,1,528,"82%",3,"20181218",1
"D",11,2,512,"77.2%",3,"20181218",1
"D",11,12,1041,"78.9%",3,"20181218",1
"D",12,1,14797,"70.8%",3,"20181218",1
"D",12,2,2583,"68.6%",3,"20181218",1
"D",12,12,17380,"70.3%",3,"20181218",1
"D",13,1,10550,"77.8%",3,"20181218",1
"D",13,2,2927,"92.3%",3,"20181218",1
"D",13,12,13478,"80.7%",3,"20181218",1
"D",14,1,231337,"83.9%",3,"20181218",1
"D",14,2,91976,"91.3%",3,"20181218",1
"D",14,12,323313,"85.9%",3,"20181218",1
"D",15,1,35247,"82.9%",3,"20181218",1
"D",15,2,2765,"70%",3,"20181218",1
"D",15,12,38011,"81.8%",3,"20181218",1
"D",16,1,24516,"71.7%",3,"20181218",1
"D",16,2,6647,"84.6%",3,"20181218",1
"D",16,12,31164,"74.4%",3,"20181218",1
"D",17,1,10240,"68.8%",3,"20181218",1
"D",17,2,2981,"65.3%",3,"20181218",1
"D",17,12,13221,"67.9%",3,"20181218",1
"D",18,1,33775,"81.4%",3,"20181218",1
"D",18,2,55707,"76.7%",3,"20181218",1
"D",14,2,161613,"35.9%",2,"20181218",1
"D",14,12,534642,"36%",2,"20181218",1
"D",15,1,54129,"35.6%",2,"20181218",1
"D",15,2,3084,"37.4%",2,"20181218",1
"D",15,12,57413,"35.5%",2,"20181218",1
"D",16,1,31859,"35.2%",2,"20181218",1
"D",16,2,9870,"35.6%",2,"20181218",1
"D",16,12,41404,"35.5%",2,"20181218",1
"D",17,1,10786,"36.3%",2,"20181218",1
"D",17,2,2929,"37.7%",2,"20181218",1
"D",17,12,13626,"36.6%",2,"20181218",1
"D",18,1,51192,"35.1%",2,"20181218",1
"D",18,2,77837,"35.3%",2,"20181218",1
"D",18,12,128764,"35.3%",2,"20181218",1
"D",19,1,80835,"35.3%",2,"20181218",1
"D",19,2,5707,"36.2%",2,"20181218",1
"D",19,12,86698,"35.3%",2,"20181218",1
"D",20,1,29673,"35.6%",2,"20181218",1
"D",20,2,46340,"35.8%",2,"20181218",1
"D",20,12,76360,"35.5%",2,"20181218",1
"D",21,1,43987,"35.5%",2,"20181218",1
"D",21,2,8270,"35.9%",2,"20181218",1
"D",21,12,52143,"35.6%",2,"20181218",1
"D",22,1,109915,"35.5%",2,"20181218",1
"D",22,2,7190,"36.9%",2,"20181218",1
"D",22,12,117518,"35.4%",2,"20181218",1
"D",23,1,50878,"35%",2,"20181218",1
"D",23,2,41575,"35.4%",2,"20181218",1
"D",23,12,92656,"35%",2,"20181218",1
"D",24,1,51003,"35.4%",2,"20181218",1
"D",24,2,12724,"35.6%",2,"20181218",1
"D",24,12,63776,"35.3%",2,"20181218",1
"D",25,1,56610,"35.1%",2,"20181218",1
"D",25,2,8428,"36.3%",2,"20181218",1
"D",25,12,65043,"35.1%",2,"20181218",1
"D",26,1,101185,"35.3%",2,"20181218",1
"D",26,2,91485,"35.2%",2,"20181218",1
"D",26,12,192930,"35.2%",2,"20181218",1
"D",27,1,87989,"35.3%",2,"20181218",1
"D",27,2,8079,"41.5%",2,"20181218",1
"D",27,12,96094,"35.5%",2,"20181218",1
"D",28,1,243,"49.6%",2,"20181218",1
"D",28,2,123,"66.4%",2,"20181218",1
"D",28,12,370,"49.3%",2,"20181218",1
"D",29,1,348,"48%",2,"20181218",1
"D",29,2,7194,"35.7%",2,"20181218",1
"D",29,12,7614,"35.3%",2,"20181218",1
"D",30,1,2130,"38.2%",2,"20181218",1
"D",30,2,3995,"36.6%",2,"20181218",1
"D",30,12,6194,"36.2%",2,"20181218",1
"D",31,1,1507,"39.7%",2,"20181218",1
"D",31,2,2818,"38.3%",2,"20181218",1
"D",31,12,4481,"36.1%",2,"20181218",1
"D",32,1,251,"55.3%",2,"20181218",1
"D",32,2,2819,"37.8%",2,"20181218",1
"D",32,12,3061,"38%",2,"20181218",1
"D",33,1,3336,"38%",2,"20181218",1
"D",33,2,3105,"38.7%",2,"20181218",1
"D",33,12,6417,"37.7%",2,"20181218",1
"D",34,1,12296,"36%",2,"20181218",1
"D",34,2,136521,"35.7%",2,"20181218",1
"D",34,12,148954,"35.6%",2,"20181218",1
"D",35,1,6277,"37.7%",2,"20181218",1
"D",35,2,5965,"37.1%",2,"20181218",1
"D",35,12,12181,"37.3%",2,"20181218",1
"D",36,1,22301,"36.8%",2,"20181218",1
"D",36,2,15216,"37%",2,"20181218",1
"D",36,12,37834,"36.4%",2,"20181218",1
"D",1,1,490,"102.3%",3,"20181218",1
"D",1,2,185,"135.6%",3,"20181218",1
"D",1,12,697,"106.3%",3,"20181218",1
"D",2,1,608,"119.4%",3,"20181218",1
"D",2,2,2040,"73.8%",3,"20181218",1
"D",2,12,2647,"83.6%",3,"20181218",1
"D",3,1,29211,"72.9%",3,"20181218",1
"D",3,2,70192,"80%",3,"20181218",1
"D",3,12,96526,"80.2%",3,"20181218",1
"D",4,1,6243,"79.9%",3,"20181218",1
"D",4,2,1618,"73.2%",3,"20181218",1
"D",31,2,1044,"146.6%",3,"20181218",1
"D",31,12,2055,"116.4%",3,"20181218",1
"D",18,12,89482,"78.2%",3,"20181218",1
"D",19,1,54308,"81.8%",3,"20181218",1
"D",19,2,3600,"90.3%",3,"20181218",1
"D",19,12,57908,"82.3%",3,"20181218",1
"D",20,1,25181,"67.5%",3,"20181218",1
"D",20,2,36757,"71.9%",3,"20181218",1
"D",20,12,61937,"70%",3,"20181218",1
"D",21,1,37216,"76.3%",3,"20181218",1
