"calcurve","nuc_nb","transition","mean","cv","nb_calcurve","date","level"
"A",2,1,2382,"12.5%",2,"20181217",10
"A",2,2,5655,"10.6%",2,"20181217",10
"A",2,12,8025,"9%",2,"20181217",10
"A",3,1,123646,"7%",2,"20181217",10
"A",3,2,321948,"7.4%",2,"20181217",10
"A",3,12,444319,"7.2%",2,"20181217",10
"A",4,1,29773,"6.8%",2,"20181217",10
"A",4,2,6744,"10.6%",2,"20181217",10
"A",4,12,36534,"7%",2,"20181217",10
"A",5,1,12003,"8.7%",2,"20181217",10
"A",5,2,4754,"9.5%",2,"20181217",10
"A",5,12,16873,"7.9%",2,"20181217",10
"A",6,1,32654,"3.6%",2,"20181217",10
"A",6,2,349295,"3.4%",2,"20181217",10
"A",6,12,382114,"3.3%",2,"20181217",10
"A",7,1,43336,"5.3%",2,"20181217",10
"A",7,2,7825,"7.6%",2,"20181217",10
"A",7,12,51136,"5.1%",2,"20181217",10
"A",8,1,3089,"12.4%",2,"20181217",10
"A",8,2,15242,"6.2%",2,"20181217",10
"A",8,12,18437,"6.1%",2,"20181217",10
"A",9,1,74330,"6.7%",2,"20181217",10
"A",9,2,10810,"7.7%",2,"20181217",10
"A",9,12,85386,"6.6%",2,"20181217",10
"A",10,1,2776,"10.3%",2,"20181217",10
"A",10,2,1811,"14.1%",2,"20181217",10
"A",10,12,4574,"9.4%",2,"20181217",10
"A",11,1,3212,"10.7%",2,"20181217",10
"A",11,2,2946,"11.1%",2,"20181217",10
"A",11,12,6167,"9.1%",2,"20181217",10
"A",12,1,72630,"6.3%",2,"20181217",10
"A",12,2,12324,"8.3%",2,"20181217",10
"A",12,12,84560,"6.3%",2,"20181217",10
"A",13,1,45572,"4.6%",2,"20181217",10
"A",13,2,12533,"6.1%",2,"20181217",10
"A",13,12,58367,"4.5%",2,"20181217",10
"A",14,1,1328030,"3.3%",2,"20181217",10
"A",14,2,591043,"3.3%",2,"20181217",10
"A",14,12,1920432,"3.2%",2,"20181217",10
"A",15,1,208224,"4.5%",2,"20181217",10
"A",15,2,12535,"8.6%",2,"20181217",10
"A",15,12,221006,"4.5%",2,"20181217",10
"A",16,1,145272,"5.5%",2,"20181217",10
"A",16,2,53703,"6.3%",2,"20181217",10
"A",16,12,198897,"5.5%",2,"20181217",10
"A",17,1,142545,"7.1%",2,"20181217",10
"A",17,2,36794,"6.7%",2,"20181217",10
"A",17,12,179075,"6.9%",2,"20181217",10
"A",18,1,333928,"4.4%",2,"20181217",10
"A",18,2,478043,"4.3%",2,"20181217",10
"A",18,12,810483,"4.2%",2,"20181217",10
"A",19,1,504925,"4.6%",2,"20181217",10
"A",19,2,33397,"5%",2,"20181217",10
"A",19,12,538581,"4.6%",2,"20181217",10
"A",20,1,172596,"4.6%",2,"20181217",10
"A",20,2,272945,"4.7%",2,"20181217",10
"A",20,12,445541,"4.4%",2,"20181217",10
"A",21,1,259845,"2.5%",2,"20181217",10
"A",21,2,48381,"3.6%",2,"20181217",10
"A",21,12,308070,"2.5%",2,"20181217",10
"A",22,1,1123640,"2.4%",2,"20181217",10
"A",22,2,74428,"4.4%",2,"20181217",10
"A",22,12,1198297,"2.4%",2,"20181217",10
"A",23,1,322888,"2.8%",2,"20181217",10
"A",23,2,256238,"2.8%",2,"20181217",10
"A",23,12,580434,"2.5%",2,"20181217",10
"A",24,1,349229,"2.2%",2,"20181217",10
"A",24,2,83444,"2.9%",2,"20181217",10
"A",24,12,431920,"2.1%",2,"20181217",10
"A",25,1,667632,"3%",2,"20181217",10
"A",25,2,94708,"3.1%",2,"20181217",10
"A",25,12,761708,"2.9%",2,"20181217",10
"A",26,1,1027140,"2.6%",2,"20181217",10
"A",26,2,938434,"2.5%",2,"20181217",10
"A",26,12,1966394,"2.4%",2,"20181217",10
"A",27,1,899466,"2.3%",2,"20181217",10
"A",27,2,80364,"2.9%",2,"20181217",10
"A",27,12,980988,"2.2%",2,"20181217",10
"A",28,1,511,"26.4%",2,"20181217",10
"A",28,2,197,"41.7%",2,"20181217",10
"A",28,12,726,"21.9%",2,"20181217",10
"A",29,1,707,"21.3%",2,"20181217",10
"A",29,2,11531,"6.8%",2,"20181217",10
"A",29,12,12213,"6.7%",2,"20181217",10
"A",30,1,4894,"10.1%",2,"20181217",10
"A",30,2,9194,"7.7%",2,"20181217",10
"A",30,12,14018,"6.8%",2,"20181217",10
"A",31,1,2446,"11.6%",2,"20181217",10
"A",31,2,4614,"9.5%",2,"20181217",10
"A",31,12,6983,"7.8%",2,"20181217",10
"A",32,1,1033,"16.3%",2,"20181217",10
"A",32,2,8052,"7.3%",2,"20181217",10
"A",32,12,9175,"6.7%",2,"20181217",10
"A",33,1,24928,"5.1%",2,"20181217",10
"A",33,2,24510,"5.6%",2,"20181217",10
"A",33,12,49495,"4.3%",2,"20181217",10
"A",34,1,37814,"4.3%",2,"20181217",10
"A",34,2,418520,"3.1%",2,"20181217",10
"A",34,12,455550,"3.1%",2,"20181217",10
"A",35,1,51550,"4.6%",2,"20181217",10
"A",35,2,18701,"5.6%",2,"20181217",10
"A",35,12,70633,"4.3%",2,"20181217",10
"A",36,1,437477,"2.4%",2,"20181217",10
"A",36,2,293577,"2.9%",2,"20181217",10
"A",36,12,730360,"2.5%",2,"20181217",10
"A",1,1,4188,"31.7%",3,"20181217",10
"A",1,2,1254,"35.4%",3,"20181217",10
"A",1,12,5402,"31.7%",3,"20181217",10
"A",2,1,2387,"26.7%",3,"20181217",10
"A",2,2,5489,"24.4%",3,"20181217",10
"A",2,12,7807,"24.6%",3,"20181217",10
"A",3,1,120905,"27.6%",3,"20181217",10
"A",3,2,315631,"26.7%",3,"20181217",10
"A",3,12,437410,"26.8%",3,"20181217",10
"A",4,1,28320,"27.9%",3,"20181217",10
"A",4,2,6483,"27.3%",3,"20181217",10
"A",4,12,34915,"27.6%",3,"20181217",10
"A",5,1,11621,"25.3%",3,"20181217",10
"A",5,2,4572,"27.7%",3,"20181217",10
"A",5,12,16265,"25.4%",3,"20181217",10
"A",6,1,32634,"22.7%",3,"20181217",10
"A",6,2,348177,"24.6%",3,"20181217",10
"A",6,12,381403,"24.3%",3,"20181217",10
"A",7,1,42600,"26.5%",3,"20181217",10
"A",7,2,7484,"26.1%",3,"20181217",10
"A",7,12,50692,"26%",3,"20181217",10
"A",8,1,2900,"29.9%",3,"20181217",10
"A",8,2,14500,"29.1%",3,"20181217",10
"A",8,12,17695,"28.2%",3,"20181217",10
"A",9,1,71801,"29.1%",3,"20181217",10
"A",9,2,10287,"28.3%",3,"20181217",10
"A",9,12,81582,"29%",3,"20181217",10
"A",10,1,2813,"26%",3,"20181217",10
"A",10,2,1747,"27.1%",3,"20181217",10
"A",10,12,4590,"24.9%",3,"20181217",10
"A",11,1,3109,"30.8%",3,"20181217",10
"A",11,2,2829,"29.4%",3,"20181217",10
"A",11,12,5937,"29.3%",3,"20181217",10
"A",12,1,70504,"24%",3,"20181217",10
"A",12,2,11394,"23.5%",3,"20181217",10
"A",12,12,81689,"23.9%",3,"20181217",10
"A",13,1,44150,"12.6%",3,"20181217",10
"A",13,2,12552,"18.6%",3,"20181217",10
"A",13,12,57043,"11.6%",3,"20181217",10
"A",14,1,1316510,"19.8%",3,"20181217",10
"A",14,2,591188,"20.2%",3,"20181217",10
"A",14,12,1910282,"19.7%",3,"20181217",10
"A",15,1,207844,"22.6%",3,"20181217",10
"A",15,2,12398,"26.2%",3,"20181217",10
"A",15,12,220294,"22.8%",3,"20181217",10
"A",16,1,142728,"24.1%",3,"20181217",10
"A",16,2,53382,"24.2%",3,"20181217",10
"A",16,12,197267,"23.4%",3,"20181217",10
"A",17,1,134862,"25%",3,"20181217",10
"A",17,2,34779,"26.5%",3,"20181217",10
"A",17,12,168668,"25.4%",3,"20181217",10
